# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalPagesReclaimed,1765648904966000000,1765648965480000000,0
FilePageCacheLockFree.totalPagesReadMs,1765648904966000000,1765648965480000000,0
DirectByteBufferAllocator.misses,1765648904966000000,1765648965480000000,148
FilePageCache.pageLoadsAboveSizeThreshold,1765648904966000000,1765648965480000000,0
FilePageCacheLockFree.totalPagesHandedOver,1765648904966000000,1765648965480000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1765648904966000000,1765648965480000000,0
MappedFileStorage.storages,1765648904966000000,1765648965480000000,6
MappedFileStorage.totalPagesMapped,1765648904966000000,1765648965480000000,6
FilePageCacheLockFree.totalPagesWriteMs,1765648904966000000,1765648965480000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1765648904966000000,1765648965480000000,0
FilePageCacheLockFree.totalPagesRequested,1765648904966000000,1765648965480000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1765648904966000000,1765648965480000000,155189248
FilePageCache.maxRegisteredFiles,1765648904966000000,1765648965480000000,401
FilePageCacheLockFree.housekeeperTurnsSkipped,1765648904966000000,1765648965480000000,0
FilePageCache.capacityInBytes,1765648904966000000,1765648965480000000,503316478
FilePageCache.pageFastCacheHits,1765648904966000000,1765648965480000000,10449
FilePageCacheLockFree.totalPagesAllocated,1765648904966000000,1765648965480000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1765648904966000000,1765648965480000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1765648904966000000,1765648965480000000,0
FilePageCache.pageLoads,1765648904966000000,1765648965480000000,151
FilePageCache.pageHits,1765648904966000000,1765648965480000000,0
MappedFileStorage.totalBytesMapped,1765648904966000000,1765648965480000000,164626432
FilePageCacheLockFree.totalPagesWritten,1765648904966000000,1765648965480000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1765648904966000000,1765648965480000000,0
FilePageCache.totalPageDisposalsUs,1765648904966000000,1765648965480000000,2559
StorageLockContext.competingThreads.avg,1765648904966000000,1765648965480000000,0.0
FilePageCacheLockFree.totalNativeBytesReclaimed,1765648904966000000,1765648965480000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1765648904966000000,1765648965480000000,0
StreamlinedBlobStorage.recordsDeleted,1765648904966000000,1765648965480000000,0
FilePageCache.maxCacheSizeInBytes,1765648904966000000,1765648965480000000,155189248
StreamlinedBlobStorage.recordsAllocated,1765648904966000000,1765648965480000000,0
FilePageCacheLockFree.totalBytesWritten,1765648904966000000,1765648965480000000,0
VFS.contentStorage.recordsStoredCompressed,1765648904966000000,1765648965480000000,0
VFS.contentStorage.recordsStoredSize,1765648904966000000,1765648965480000000,0
VFS.fileByIdCache.misses,1765648904966000000,1765648965480000000,0
VFS.contentStorage.recordsRead,1765648904966000000,1765648965480000000,0
VFS.contentStorage.recordsUncompressedSize,1765648904966000000,1765648965480000000,0
VFS.contentStorage.recordsReadDecompressed,1765648904966000000,1765648965480000000,0
VFS.contentStorage.recordsDeduplicated,1765648904966000000,1765648965480000000,0
FileNameCache.totalMisses,1765648904966000000,1765648965480000000,0
FileNameCache.queries,1765648904966000000,1765648965480000000,0
VFS.contentStorage.recordsStored,1765648904966000000,1765648965480000000,0
VFS.invertedFileNameIndex.requests,1765648904966000000,1765648965480000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1765648904966000000,1765648965480000000,0
VFS.fileChildByName,1765648904966000000,1765648965480000000,0
VFS.fileByIdCache.hits,1765648904966000000,1765648965480000000,0
VFS.contentStorage.recordsReadSize,1765648904966000000,1765648965480000000,0
workspaceModel.updates.precise.ms,1765648965480000000,1765649025054000000,7
workspaceModel.entityStorageSnapshotImpl.instances.count,1765648965480000000,1765649025054000000,21
workspaceModel.cachedValue.clear.count,1765648965480000000,1765649025054000000,4
workspaceModel.updates.ms,1765648965480000000,1765649025054000000,278
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1765648965480000000,1765649025054000000,14
workspaceModel.cachedValue.from.cache.count,1765648965480000000,1765649025054000000,36
workspaceModel.to.snapshot.ms,1765648965480000000,1765649025054000000,0
workspaceModel.collect.changes.ms,1765648965480000000,1765649025054000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1765648965480000000,1765649025054000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1765648965480000000,1765649025054000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1765648965480000000,1765649025054000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1765648965480000000,1765649025054000000,0
workspaceModel.pre.handlers.ms,1765648965480000000,1765649025054000000,2
workspaceModel.updates.count,1765648965480000000,1765649025054000000,4
workspaceModel.workspaceFileIndexData.init.ms,1765648965480000000,1765649025054000000,10
workspaceModel.update.unloaded.entities.ms,1765648965480000000,1765649025054000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1765648965480000000,1765649025054000000,0
workspaceModel.workspaceFileIndexData.instances.count,1765648965480000000,1765649025054000000,1
workspaceModel.on.before.changed.ms,1765648965480000000,1765649025054000000,51
workspaceModel.initializing.ms,1765648965480000000,1765649025054000000,24
workspaceModel.loading.total.ms,1765648965480000000,1765649025054000000,8
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1765648965480000000,1765649025054000000,21
workspaceModel.cachedValue.calculated.count,1765648965480000000,1765649025054000000,17
workspaceModel.workspaceFileIndexData.markDirty.ms,1765648965480000000,1765649025054000000,0
workspaceModel.full.replace.project.model.ms,1765648965480000000,1765649025054000000,19
workspaceModel.cachedValueWithParameters.clear.count,1765648965480000000,1765649025054000000,0
workspaceModel.init.bridges.ms,1765648965480000000,1765649025054000000,23
workspaceModel.replace.project.model.ms,1765648965480000000,1765649025054000000,0
workspaceModel.cachedValue.total.get.count,1765648965480000000,1765649025054000000,53
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1765648965480000000,1765649025054000000,0
workspaceModel.check.recursive.update.ms,1765648965480000000,1765649025054000000,1
workspaceModel.loading.from.cache.ms,1765648965480000000,1765649025054000000,1
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1765648965480000000,1765649025054000000,165
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1765648965480000000,1765649025054000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1765648965480000000,1765649025054000000,0
workspaceModel.on.changed.ms,1765648965480000000,1765649025054000000,192
Indexing.writer_0.totalTimeSpentWritingMs,1765648965480000000,1765649025054000000,31797
Indexing.writer_1.totalTimeSpentWritingMs,1765648965480000000,1765649025054000000,5172
Indexing.cache.totalCacheAccesses,1765648965480000000,1765649025054000000,18615757
IndexesFlusher.totalFlushingTimeUs,1765648965480000000,1765649025054000000,10386919
IndexesFlusher.totalFlushesRetried,1765648965480000000,1765649025054000000,66
Indexing.writer_3.totalTimeSpentWritingMs,1765648965480000000,1765649025054000000,1118
Indexing.writer_2.totalTimeSpentWritingMs,1765648965480000000,1765649025054000000,22809
Indexing.writesQueuedMin,1765648965480000000,1765649025054000000,9223372036854775807
Indexing.cache.totalCacheMisses,1765648965480000000,1765649025054000000,1600018
IndexesFlusher.totalFlushes,1765648965480000000,1765649025054000000,112
Indexing.writesQueuedMax,1765648965480000000,1765649025054000000,0
IndexesFlusher.totalContentionQuotaSpent,1765648965480000000,1765649025054000000,74
Indexing.cache.totalCacheEvicted,1765648965480000000,1765649025054000000,1503263
Indexing.totalTimeIndexersSleptMs,1765648965480000000,1765649025054000000,203083
AWTEventQueue.dispatchTimeMaxNs,1765648965480000000,1765649025054000000,700415
FlushQueue.waitingTimeAvgNs,1765648965480000000,1765649025054000000,4571136.0
FlushQueue.executionTimeAvgNs,1765648965480000000,1765649025054000000,43402.666666666664
FlushQueue.waitingTimeMaxNs,1765648965480000000,1765649025054000000,4849663
AWTEventQueue.eventsDispatched,1765648965480000000,1765649025054000000,2
FlushQueue.queueSizeAvg,1765648965480000000,1765649025054000000,1.0
FlushQueue.waitingTime90PNs,1765648965480000000,1765649025054000000,4849663
FlushQueue.executionTimeMaxNs,1765648965480000000,1765649025054000000,90111
NonBlockingReadAction.finalizedExecutionTimeUs,1765648965480000000,1765649025054000000,321043
AWTEventQueue.dispatchTime90PNs,1765648965480000000,1765649025054000000,700415
NonBlockingReadAction.finalizedExecutionsCount,1765648965480000000,1765649025054000000,4
NonBlockingReadAction.failedExecutionsCount,1765648965480000000,1765649025054000000,0
AWTEventQueue.dispatchTimeTotalNS,1765648965480000000,1765649025054000000,2762784837
FlushQueue.executionTime90PNs,1765648965480000000,1765649025054000000,90111
FlushQueue.tasksExecuted,1765648965480000000,1765649025054000000,3
WriteAction.executionsCount,1765648965480000000,1765649025054000000,20
ReadAction.executionsCount,1765648965480000000,1765649025054000000,116511
FlushQueue.queueSizeMax,1765648965480000000,1765649025054000000,2
FlushQueue.queueSize90P,1765648965480000000,1765649025054000000,2
NonBlockingReadAction.failedExecutionTimeUs,1765648965480000000,1765649025054000000,0
AWTEventQueue.dispatchTimeAvgNs,1765648965480000000,1765649025054000000,407680.0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1765648965480000000,1765649025054000000,0
jps.apply.loaded.storage.ms,1765648965480000000,1765649025054000000,37
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1765648965480000000,1765649025054000000,0
workspaceModel.mutableEntityStorage.instances.count,1765648965480000000,1765649025054000000,31
workspaceModel.moduleManagerBridge.get.modules.ms,1765648965480000000,1765649025054000000,2
workspaceModel.mutableEntityStorage.modify.entity.ms,1765648965480000000,1765649025054000000,19
workspaceModel.moduleManagerBridge.create.module.instance.ms,1765648965480000000,1765649025054000000,67
workspaceModel.moduleManagerBridge.newModule.ms,1765648965480000000,1765649025054000000,156
workspaceModel.global.updates.count,1765648965480000000,1765649025054000000,2
workspaceModel.mutableEntityStorage.put.entity.ms,1765648965480000000,1765649025054000000,22
workspaceModel.moduleBridge.update.option.ms,1765648965480000000,1765649025054000000,0
workspaceModel.mutableEntityStorage.entities.ms,1765648965480000000,1765649025054000000,6
jps.modifiable.module.model.bridge.renaming.ms,1765648965480000000,1765649025054000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1765648965480000000,1765649025054000000,0
jps.load.initial.state.ms,1765648965480000000,1765649025054000000,0
workspaceModel.global.apply.state.to.project.ms,1765648965480000000,1765649025054000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1765648965480000000,1765649025054000000,18
jps.modifiable.module.model.bridge.new.module.ms,1765648965480000000,1765649025054000000,82
jps.modifiable.module.model.bridge.load.module.ms,1765648965480000000,1765649025054000000,0
jps.global.handle.before.change.events.ms,1765648965480000000,1765649025054000000,0
jps.global.initialize.library.bridges.ms,1765648965480000000,1765649025054000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1765648965480000000,1765649025054000000,0
workspaceModel.orphan.listener.update.ms,1765648965480000000,1765649025054000000,8
